# name	type	description
@ai-elements/agent	component	AI-powered agent component.
@ai-elements/artifact	component	AI-powered artifact component.
@ai-elements/attachments	component	AI-powered attachments component.
@ai-elements/audio-player	component	AI-powered audio player component.
@ai-elements/canvas	component	AI-powered canvas component.
@ai-elements/chain-of-thought	component	AI-powered chain of-thought component.
@ai-elements/checkpoint	component	AI-powered checkpoint component.
@ai-elements/code-block	component	AI-powered code block component.
@ai-elements/commit	component	AI-powered commit component.
@ai-elements/confirmation	component	AI-powered confirmation component.
@ai-elements/connection	component	AI-powered connection component.
@ai-elements/context	component	AI-powered context component.
@ai-elements/controls	component	AI-powered controls component.
@ai-elements/conversation	component	AI-powered conversation component.
@ai-elements/edge	component	AI-powered edge component.
@ai-elements/environment-variables	component	AI-powered environment variables component.
@ai-elements/example-agent	block	Example implementation of agent.
@ai-elements/example-artifact	block	Example implementation of artifact.
@ai-elements/example-attachments	block	Example implementation of attachments.
@ai-elements/example-attachments-inline	block	Example implementation of attachments inline.
@ai-elements/example-attachments-list	block	Example implementation of attachments list.
@ai-elements/example-audio-player	block	Example implementation of audio player.
@ai-elements/example-audio-player-remote	block	Example implementation of audio player-remote.
@ai-elements/example-chain-of-thought	block	Example implementation of chain of-thought.
@ai-elements/example-chatbot	block	Example implementation of chatbot.
@ai-elements/example-checkpoint	block	Example implementation of checkpoint.
@ai-elements/example-code-block	block	Example implementation of code block.
@ai-elements/example-code-block-dark	block	Example implementation of code block-dark.
@ai-elements/example-commit	block	Example implementation of commit.
@ai-elements/example-confirmation	block	Example implementation of confirmation.
@ai-elements/example-confirmation-accepted	block	Example implementation of confirmation accepted.
@ai-elements/example-confirmation-rejected	block	Example implementation of confirmation rejected.
@ai-elements/example-confirmation-request	block	Example implementation of confirmation request.
@ai-elements/example-context	block	Example implementation of context.
@ai-elements/example-conversation	block	Example implementation of conversation.
@ai-elements/example-demo-chatgpt	block	Example implementation of demo chatgpt.
@ai-elements/example-demo-claude	block	Example implementation of demo claude.
@ai-elements/example-demo-cursor	block	Example implementation of demo cursor.
@ai-elements/example-demo-grok	block	Example implementation of demo grok.
@ai-elements/example-demo-workflow	block	Example implementation of demo workflow.
@ai-elements/example-environment-variables	block	Example implementation of environment variables.
@ai-elements/example-file-tree	block	Example implementation of file tree.
@ai-elements/example-file-tree-basic	block	Example implementation of file tree-basic.
@ai-elements/example-file-tree-expanded	block	Example implementation of file tree-expanded.
@ai-elements/example-file-tree-selection	block	Example implementation of file tree-selection.
@ai-elements/example-image	block	Example implementation of image.
@ai-elements/example-inline-citation	block	Example implementation of inline citation.
@ai-elements/example-jsx-preview	block	Example implementation of jsx preview.
@ai-elements/example-message	block	Example implementation of message.
@ai-elements/example-mic-selector	block	Example implementation of mic selector.
@ai-elements/example-model-selector	block	Example implementation of model selector.
@ai-elements/example-open-in-chat	block	Example implementation of open in-chat.
@ai-elements/example-package-info	block	Example implementation of package info.
@ai-elements/example-persona-command	block	Example implementation of persona command.
@ai-elements/example-persona-glint	block	Example implementation of persona glint.
@ai-elements/example-persona-halo	block	Example implementation of persona halo.
@ai-elements/example-persona-mana	block	Example implementation of persona mana.
@ai-elements/example-persona-obsidian	block	Example implementation of persona obsidian.
@ai-elements/example-persona-opal	block	Example implementation of persona opal.
@ai-elements/example-plan	block	Example implementation of plan.
@ai-elements/example-prompt-input	block	Example implementation of prompt input.
@ai-elements/example-prompt-input-cursor	block	Example implementation of prompt input-cursor.
@ai-elements/example-prompt-input-tooltip	block	Example implementation of prompt input-tooltip.
@ai-elements/example-queue	block	Example implementation of queue.
@ai-elements/example-queue-prompt-input	block	Example implementation of queue prompt-input.
@ai-elements/example-reasoning	block	Example implementation of reasoning.
@ai-elements/example-sandbox	block	Example implementation of sandbox.
@ai-elements/example-schema-display	block	Example implementation of schema display.
@ai-elements/example-schema-display-basic	block	Example implementation of schema display-basic.
@ai-elements/example-schema-display-body	block	Example implementation of schema display-body.
@ai-elements/example-schema-display-nested	block	Example implementation of schema display-nested.
@ai-elements/example-schema-display-params	block	Example implementation of schema display-params.
@ai-elements/example-shimmer	block	Example implementation of shimmer.
@ai-elements/example-shimmer-duration	block	Example implementation of shimmer duration.
@ai-elements/example-shimmer-elements	block	Example implementation of shimmer elements.
@ai-elements/example-snippet	block	Example implementation of snippet.
@ai-elements/example-snippet-plain	block	Example implementation of snippet plain.
@ai-elements/example-sources	block	Example implementation of sources.
@ai-elements/example-sources-custom	block	Example implementation of sources custom.
@ai-elements/example-speech-input	block	Example implementation of speech input.
@ai-elements/example-stack-trace	block	Example implementation of stack trace.
@ai-elements/example-stack-trace-collapsed	block	Example implementation of stack trace-collapsed.
@ai-elements/example-stack-trace-no-internal	block	Example implementation of stack trace-no-internal.
@ai-elements/example-suggestion	block	Example implementation of suggestion.
@ai-elements/example-suggestion-input	block	Example implementation of suggestion input.
@ai-elements/example-task	block	Example implementation of task.
@ai-elements/example-terminal	block	Example implementation of terminal.
@ai-elements/example-terminal-basic	block	Example implementation of terminal basic.
@ai-elements/example-terminal-clear	block	Example implementation of terminal clear.
@ai-elements/example-terminal-streaming	block	Example implementation of terminal streaming.
@ai-elements/example-test-results	block	Example implementation of test results.
@ai-elements/example-test-results-basic	block	Example implementation of test results-basic.
@ai-elements/example-test-results-errors	block	Example implementation of test results-errors.
@ai-elements/example-test-results-suites	block	Example implementation of test results-suites.
@ai-elements/example-tool	block	Example implementation of tool.
@ai-elements/example-tool-input-available	block	Example implementation of tool input-available.
@ai-elements/example-tool-input-streaming	block	Example implementation of tool input-streaming.
@ai-elements/example-tool-output-available	block	Example implementation of tool output-available.
@ai-elements/example-tool-output-error	block	Example implementation of tool output-error.
@ai-elements/example-transcription	block	Example implementation of transcription.
@ai-elements/example-v0-clone	block	Example implementation of v0 clone.
@ai-elements/example-voice-selector	block	Example implementation of voice selector.
@ai-elements/example-web-preview	block	Example implementation of web preview.
@ai-elements/example-workflow	block	Example implementation of workflow.
@ai-elements/file-tree	component	AI-powered file tree component.
@ai-elements/image	component	AI-powered image component.
@ai-elements/inline-citation	component	AI-powered inline citation component.
@ai-elements/jsx-preview	component	AI-powered jsx preview component.
@ai-elements/message	component	AI-powered message component.
@ai-elements/mic-selector	component	AI-powered mic selector component.
@ai-elements/model-selector	component	AI-powered model selector component.
@ai-elements/node	component	AI-powered node component.
@ai-elements/open-in-chat	component	AI-powered open in-chat component.
@ai-elements/package-info	component	AI-powered package info component.
@ai-elements/panel	component	AI-powered panel component.
@ai-elements/persona	component	AI-powered persona component.
@ai-elements/plan	component	AI-powered plan component.
@ai-elements/prompt-input	component	AI-powered prompt input component.
@ai-elements/queue	component	AI-powered queue component.
@ai-elements/reasoning	component	AI-powered reasoning component.
@ai-elements/sandbox	component	AI-powered sandbox component.
@ai-elements/schema-display	component	AI-powered schema display component.
@ai-elements/shimmer	component	AI-powered shimmer component.
@ai-elements/snippet	component	AI-powered snippet component.
@ai-elements/sources	component	AI-powered sources component.
@ai-elements/speech-input	component	AI-powered speech input component.
@ai-elements/stack-trace	component	AI-powered stack trace component.
